category	species	trait	study	gene	human_ortholog	human_symbol
size	pig	backfat_thickness	teng	ENSSSCG00000025329	ENSG00000105671	DDX49
size	pig	backfat_thickness	teng	ENSSSCG00000013864	ENSG00000072954	TMEM38A
size	pig	backfat_thickness	teng	ENSSSCG00000013879	ENSG00000130304	SLC27A1
size	pig	backfat_thickness	teng	ENSSSCG00000013873	ENSG00000160113	NR2F6
size	pig	backfat_thickness	teng	ENSSSCG00000041467	ENSG00000269720	CCDC194
size	pig	backfat_thickness	teng	ENSSSCG00000036575	ENSG00000130307	USHBP1
size	pig	backfat_thickness	teng	ENSSSCG00000013731	ENSG00000105612	DNASE2
size	pig	backfat_thickness	teng	ENSSSCG00000013639	ENSG00000129353	SLC44A2
size	pig	backfat_thickness	teng	ENSSSCG00000013650	ENSG00000161847	RAVER1
size	pig	backfat_thickness	teng	ENSSSCG00000013662	ENSG00000130810	PPAN
size	pig	backfat_thickness	teng	ENSSSCG00000013589	ENSG00000104976	SNAPC2
size	pig	backfat_thickness	teng	ENSSSCG00000027127	ENSG00000126934	MAP2K2
size	pig	backfat_thickness	teng	ENSSSCG00000025675	ENSG00000167658	EEF2
size	pig	backfat_thickness	teng	ENSSSCG00000014091	ENSG00000164251	F2RL1
size	pig	backfat_thickness	teng	ENSSSCG00000014123	ENSG00000152380	FAM151B
size	pig	backfat_thickness	teng	ENSSSCG00000014369	ENSG00000170458	CD14
size	pig	backfat_thickness	teng	ENSSSCG00000036961	ENSG00000113212	PCDHB7
size	pig	backfat_thickness	teng	ENSSSCG00000031533	ENSG00000253305	PCDHGB6
size	pig	backfat_thickness	teng	ENSSSCG00000038940	ENSG00000113552	GNPDA1
size	pig	backfat_thickness	teng	ENSSSCG00000021427	ENSG00000132912	DCTN4
size	pig	backfat_thickness	teng	ENSSSCG00000029175	ENSG00000221909	FAM200A
size	pig	backfat_thickness	teng	ENSSSCG00000036665	ENSG00000160908	ZNF394
size	pig	backfat_thickness	teng	ENSSSCG00000008175	ENSG00000115526	CHST10
size	pig	backfat_thickness	teng	ENSSSCG00000022058	ENSG00000138085	ATRAID
size	pig	backfat_thickness	teng	ENSSSCG00000008619	ENSG00000079785	DDX1
size	pig	backfat_thickness	teng	ENSSSCG00000006089	ENSG00000156471	PTDSS1
size	pig	backfat_thickness	teng	ENSSSCG00000006192	ENSG00000147592	LACTB2
size	pig	backfat_thickness	teng	ENSSSCG00000006251	ENSG00000137574	TGS1
size	pig	backfat_thickness	teng	ENSSSCG00000006252	ENSG00000167904	TMEM68
size	pig	backfat_thickness	teng	ENSSSCG00000031813	ENSG00000206579	XKR4
size	pig	backfat_thickness	teng	ENSSSCG00000030578	ENSG00000137547	MRPL15
size	pig	backfat_thickness	teng	ENSSSCG00000033585	ENSG00000158716	DUSP23
size	pig	backfat_thickness	teng	ENSSSCG00000006642	ENSG00000143409	MINDY1
size	pig	backfat_thickness	teng	ENSSSCG00000034360	ENSG00000143126	CELSR2
size	pig	backfat_thickness	teng	ENSSSCG00000034455	ENSG00000158717	RNF166
size	pig	backfat_thickness	teng	ENSSSCG00000029228	ENSG00000158805	ZNF276
size	pig	backfat_thickness	teng	ENSSSCG00000022722	ENSG00000159753	CARMIL2
size	pig	backfat_thickness	teng	ENSSSCG00000002790	ENSG00000168701	TMEM208
size	pig	backfat_thickness	teng	ENSSSCG00000032443	ENSG00000196123	MATCAP1
size	pig	backfat_thickness	teng	ENSSSCG00000034521	ENSG00000167005	NUDT21
size	pig	backfat_thickness	teng	ENSSSCG00000025139	ENSG00000168813	ZNF507
size	pig	backfat_thickness	teng	ENSSSCG00000002875	ENSG00000126249	PDCD2L
size	pig	backfat_thickness	teng	ENSSSCG00000029875	ENSG00000186020	ZNF529
size	pig	backfat_thickness	teng	ENSSSCG00000031860	ENSG00000128626	MRPS12
size	pig	backfat_thickness	teng	ENSSSCG00000040533	ENSG00000188493	ACTMAP
size	pig	backfat_thickness	teng	ENSSSCG00000029070	ENSG00000079462	PAFAH1B3
size	pig	backfat_thickness	teng	ENSSSCG00000003093	ENSG00000125755	SYMPK
size	pig	backfat_thickness	teng	ENSSSCG00000038580	ENSG00000174951	FUT1
size	pig	backfat_thickness	teng	ENSSSCG00000003217	ENSG00000161677	JOSD2
size	pig	backfat_thickness	teng	ENSSSCG00000003488	ENSG00000127481	UBR4
size	pig	backfat_thickness	teng	ENSSSCG00000003505	ENSG00000244038	DDOST
size	pig	backfat_thickness	teng	ENSSSCG00000029558	ENSG00000158008	EXTL1
size	pig	backfat_thickness	teng	ENSSSCG00000003566	ENSG00000090273	NUDC
size	pig	backfat_thickness	teng	ENSSSCG00000003561	ENSG00000204160	ZDHHC18
size	pig	backfat_thickness	teng	ENSSSCG00000003589	ENSG00000116353	MECR
size	pig	backfat_thickness	teng	ENSSSCG00000036832	ENSG00000196182	STK40
size	pig	backfat_thickness	teng	ENSSSCG00000031786	ENSG00000020129	NCDN
size	pig	backfat_thickness	teng	ENSSSCG00000003667	ENSG00000043514	TRIT1
size	pig	backfat_thickness	teng	ENSSSCG00000003673	ENSG00000085415	SEH1L
size	pig	backfat_thickness	teng	ENSSSCG00000022947	ENSG00000141385	AFG3L2
size	pig	backfat_thickness	teng	ENSSSCG00000003687	ENSG00000082397	EPB41L3
size	pig	backfat_thickness	teng	ENSSSCG00000029698	ENSG00000116212	LRRC42
size	pig	backfat_thickness	teng	ENSSSCG00000029808	ENSG00000070785	EIF2B3
size	pig	backfat_thickness	teng	ENSSSCG00000003950	ENSG00000066056	TIE1
size	pig	backfat_thickness	teng	ENSSSCG00000027374	ENSG00000164008	C1orf50
size	pig	backfat_thickness	teng	ENSSSCG00000034131	ENSG00000239264	TXNDC5
size	pig	backfat_thickness	teng	ENSSSCG00000001402	ENSG00000204498	NFKBIL1
size	pig	backfat_thickness	teng	ENSSSCG00000001346	ENSG00000204574	ABCF1
size	pig	backfat_thickness	teng	ENSSSCG00000038950	ENSG00000204394	VARS1
size	pig	backfat_thickness	teng	ENSSSCG00000001474	ENSG00000204231	RXRB
size	pig	backfat_thickness	teng	ENSSSCG00000038520	ENSG00000124641	MED20
size	pig	backfat_thickness	teng	ENSSSCG00000001661	ENSG00000112658	SRF
size	pig	backfat_thickness	teng	ENSSSCG00000032498	ENSG00000166411	IDH3A
size	pig	backfat_thickness	teng	ENSSSCG00000002025	ENSG00000092096	SLC22A17
size	pig	backfat_thickness	teng	ENSSSCG00000001984	ENSG00000100441	KHNYN
size	pig	backfat_thickness	teng	ENSSSCG00000002142	ENSG00000129566	TEP1
size	pig	backfat_thickness	teng	ENSSSCG00000028663	ENSG00000119707	RBM25
size	pig	backfat_thickness	teng	ENSSSCG00000002449	ENSG00000183648	NDUFB1
size	pig	backfat_thickness	teng	ENSSSCG00000033541	ENSG00000185818	NAT8L
size	pig	backfat_thickness	teng	ENSSSCG00000026232	ENSG00000047662	FAM184B
size	pig	backfat_thickness	teng	ENSSSCG00000029989	ENSG00000118579	MED28
size	pig	backfat_thickness	teng	ENSSSCG00000008832	ENSG00000188993	LRRC66
size	pig	backfat_thickness	teng	ENSSSCG00000028101	ENSG00000164038	SLC9B2
size	pig	backfat_thickness	teng	ENSSSCG00000009180	ENSG00000145331	TRMT10A
size	pig	backfat_thickness	teng	ENSSSCG00000038042	ENSG00000163319	MRPS18C
size	pig	backfat_thickness	teng	ENSSSCG00000040207	ENSG00000175591	P2RY2
size	pig	backfat_thickness	teng	ENSSSCG00000014834	ENSG00000175564	UCP3
size	pig	backfat_thickness	teng	ENSSSCG00000029323	ENSG00000175538	KCNE3
size	pig	backfat_thickness	teng	ENSSSCG00000042208	ENSG00000188486	H2AX
size	pig	backfat_thickness	teng	ENSSSCG00000036169	ENSG00000219545	UMAD1
size	pig	backfat_thickness	teng	ENSSSCG00000015360	ENSG00000106524	ANKMY2
size	pig	backfat_thickness	teng	ENSSSCG00000031121	ENSG00000198860	TSEN15
size	pig	backfat_thickness	teng	ENSSSCG00000037431	ENSG00000134375	TIMM17A
size	pig	backfat_thickness	teng	ENSSSCG00000011134	ENSG00000134453	RBM17
size	pig	backfat_thickness	teng	ENSSSCG00000009378	ENSG00000136108	CKAP2
size	pig	backfat_thickness	teng	ENSSSCG00000049515	ENSG00000169689	CENPX
size	pig	backfat_thickness	teng	ENSSSCG00000023423	ENSG00000185262	UBALD2
size	pig	backfat_thickness	teng	ENSSSCG00000017178	ENSG00000176170	SPHK1
size	pig	backfat_thickness	teng	ENSSSCG00000017274	ENSG00000154217	PITPNC1
size	pig	backfat_thickness	teng	ENSSSCG00000017475	ENSG00000131759	RARA
size	pig	backfat_thickness	teng	ENSSSCG00000017693	ENSG00000275700	AATF
size	pig	backfat_thickness	teng	ENSSSCG00000028920	ENSG00000004142	POLDIP2
size	pig	backfat_thickness	teng	ENSSSCG00000032049	ENSG00000074755	ZZEF1
size	pig	backfat_thickness	teng	ENSSSCG00000017951	ENSG00000129244	ATP1B2
size	pig	backfat_thickness	teng	ENSSSCG00000046700	ENSG00000174282	ZBTB4
size	pig	backfat_thickness	teng	ENSSSCG00000017935	ENSG00000175826	CTDNEP1
size	pig	backfat_thickness	teng	ENSSSCG00000024416	ENSG00000006788	MYH13
size	pig	backfat_thickness	teng	ENSSSCG00000018027	ENSG00000171928	TVP23B
size	pig	backfat_thickness	teng	ENSSSCG00000011683	ENSG00000163710	PCOLCE2
size	pig	backfat_thickness	teng	ENSSSCG00000009962	ENSG00000100109	TFIP11
size	pig	backfat_thickness	teng	ENSSSCG00000009988	ENSG00000100296	THOC5
size	pig	backfat_thickness	teng	ENSSSCG00000029781	ENSG00000198832	SELENOM
size	pig	backfat_thickness	teng	ENSSSCG00000010026	ENSG00000100100	PIK3IP1
size	pig	backfat_thickness	teng	ENSSSCG00000035105	ENSG00000079393	DUSP13B
size	pig	backfat_thickness	teng	ENSSSCG00000022005	ENSG00000107819	SFXN3
size	pig	backfat_thickness	teng	ENSSSCG00000010579	ENSG00000107862	GBF1
size	pig	backfat_thickness	teng	ENSSSCG00000010608	ENSG00000156384	SFR1
size	pig	backfat_thickness	teng	ENSSSCG00000010681	ENSG00000183605	SFXN4
size	pig	backfat_thickness	teng	ENSSSCG00000010688	ENSG00000197771	MCMBP
size	pig	backfat_thickness	teng	ENSSSCG00000028646	ENSG00000168288	MMADHC
size	pig	backfat_thickness	teng	ENSSSCG00000015843	ENSG00000104691	UBXN8
size	pig	backfat_thickness	teng	ENSSSCG00000033402	ENSG00000133872	SARAF
size	pig	backfat_thickness	teng	ENSSSCG00000015845	ENSG00000197265	GTF2E2
size	pig	backfat_thickness	teng	ENSSSCG00000015883	ENSG00000136536	MARCHF7
size	pig	backfat_thickness	teng	ENSSSCG00000034395	ENSG00000118260	CREB1
size	pig	backfat_thickness	teng	ENSSSCG00000016157	ENSG00000168530	MYL1
size	pig	backfat_thickness	teng	ENSSSCG00000016205	ENSG00000187736	NHEJ1
size	pig	backfat_thickness	teng	ENSSSCG00000016189	ENSG00000127837	AAMP
size	pig	backfat_thickness	teng	ENSSSCG00000016202	ENSG00000163481	RNF25
size	pig	backfat_thickness	teng	ENSSSCG00000016207	ENSG00000144567	RETREG2
size	pig	backfat_thickness	teng	ENSSSCG00000016210	ENSG00000115657	ABCB6
size	pig	backfat_thickness	teng	ENSSSCG00000016217	ENSG00000135924	DNAJB2
size	pig	backfat_thickness	teng	ENSSSCG00000020785	ENSG00000175084	DES
size	pig	backfat_thickness	teng	ENSSSCG00000021610	ENSG00000123989	CHPF
size	pig	backfat_thickness	teng	ENSSSCG00000023935	ENSG00000144591	GMPPA
size	pig	backfat_thickness	teng	ENSSSCG00000035775	ENSG00000074582	BCS1L
size	pig	backfat_thickness	teng	ENSSSCG00000036938	ENSG00000144579	CTDSP1
size	pig	backfat_thickness	teng	ENSSSCG00000047413	ENSG00000178602	OTOS
size	pig	backfat_thickness	teng	ENSSSCG00000016367	ENSG00000142327	RNPEPL1
size	pig	backfat_thickness	teng	ENSSSCG00000034101	ENSG00000180902	D2HGDH
size	pig	backfat_thickness	teng	ENSSSCG00000016989	ENSG00000037241	RPL26L1
size	pig	backfat_thickness	teng	ENSSSCG00000036387	ENSG00000150756	ATPSCKMT
size	pig	backfat_thickness	teng	ENSSSCG00000007108	ENSG00000088970	KIZ
size	pig	backfat_thickness	teng	ENSSSCG00000007206	ENSG00000125826	RBCK1
size	pig	backfat_thickness	teng	ENSSSCG00000007272	ENSG00000101421	CHMP4B
size	pig	backfat_thickness	teng	ENSSSCG00000007289	ENSG00000100991	TRPC4AP
size	pig	backfat_thickness	teng	ENSSSCG00000007433	ENSG00000100982	PCIF1
size	pig	backfat_thickness	teng	ENSSSCG00000039591	ENSG00000132824	SERINC3
size	pig	backfat_thickness	teng	ENSSSCG00000038594	ENSG00000124145	SDC4
size	pig	backfat_thickness	teng	ENSSSCG00000007424	ENSG00000101470	TNNC2
size	pig	backfat_thickness	teng	ENSSSCG00000051117	ENSG00000240563	L1TD1
size	pig	backfat_thickness	teng	ENSSSCG00000007421	ENSG00000124116	WFDC3
size	pig	backfat_thickness	teng	ENSSSCG00000007504	ENSG00000132819	RBM38
size	pig	backfat_thickness	teng	ENSSSCG00000033946	ENSG00000101191	DIDO1
size	pig	backfat_thickness	teng	ENSSSCG00000033272	ENSG00000105993	DNAJB6
size	pig	backfat_thickness	teng	ENSSSCG00000016452	ENSG00000171115	GIMAP8
size	pig	backfat_thickness	teng	ENSSSCG00000016501	ENSG00000006459	KDM7A
size	pig	backfat_thickness	teng	ENSSSCG00000032786	ENSG00000146858	ZC3HAV1L
size	pig	backfat_thickness	teng	ENSSSCG00000016545	ENSG00000106554	CHCHD3
size	pig	backfat_thickness	teng	ENSSSCG00000027491	ENSG00000106603	COA1
size	pig	backfat_thickness	teng	ENSSSCG00000025023	ENSG00000142102	PGGHG
size	pig	backfat_thickness	teng	ENSSSCG00000033168	ENSG00000064545	TMEM161A
size	pig	backfat_thickness	teng	ENSSSCG00000026733	ENSG00000064393	HIPK2
size	pig	backfat_thickness	teng	ENSSSCG00000005424	ENSG00000136783	NIPSNAP3A
size	pig	backfat_thickness	teng	ENSSSCG00000027334	ENSG00000175376	EIF1AD
size	pig	backfat_thickness	teng	ENSSSCG00000007547	ENSG00000105963	ADAP1
size	pig	backfat_thickness	teng	ENSSSCG00000007554	ENSG00000178381	ZFAND2A
size	pig	backfat_thickness	teng	ENSSSCG00000028277	ENSG00000174876	AMY1B
size	pig	backfat_thickness	teng	ENSSSCG00000000006	ENSG00000186951	PPARA
size	pig	backfat_thickness	teng	ENSSSCG00000000462	ENSG00000118600	RXYLT1
size	pig	backfat_thickness	teng	ENSSSCG00000002651	ENSG00000167513	CDT1
size	pig	backfat_thickness	teng	ENSSSCG00000024476	ENSG00000172828	CES3
size	pig	backfat_thickness	teng	ENSSSCG00000003211	ENSG00000131408	NR1H2
size	pig	backfat_thickness	teng	ENSSSCG00000029573	ENSG00000132780	NASP
size	pig	backfat_thickness	teng	ENSSSCG00000001952	ENSG00000100906	NFKBIA
size	pig	backfat_thickness	teng	ENSSSCG00000002341	ENSG00000100767	PAPLN
size	pig	backfat_thickness	teng	ENSSSCG00000009062	ENSG00000137463	MGARP
size	pig	backfat_thickness	teng	ENSSSCG00000009123	ENSG00000145349	CAMK2D
size	pig	backfat_thickness	teng	ENSSSCG00000014818	ENSG00000214530	STARD10
size	pig	backfat_thickness	teng	ENSSSCG00000024913	ENSG00000198331	HYLS1
size	pig	backfat_thickness	teng	ENSSSCG00000015618	ENSG00000196878	LAMB3
size	pig	backfat_thickness	teng	ENSSSCG00000037241	ENSG00000116741	RGS2
size	pig	backfat_thickness	teng	ENSSSCG00000039658	ENSG00000185267	CDNF
size	pig	backfat_thickness	teng	ENSSSCG00000037170	ENSG00000132963	POMP
size	pig	backfat_thickness	teng	ENSSSCG00000031598	ENSG00000102543	CDADC1
size	pig	backfat_thickness	teng	ENSSSCG00000035098	ENSG00000136146	MED4
size	pig	backfat_thickness	teng	ENSSSCG00000009430	ENSG00000023516	AKAP11
size	pig	backfat_thickness	teng	ENSSSCG00000044700	ENSG00000187498	COL4A1
size	pig	backfat_thickness	teng	ENSSSCG00000017199	ENSG00000132481	TRIM47
size	pig	backfat_thickness	teng	ENSSSCG00000017268	ENSG00000154229	PRKCA
size	pig	backfat_thickness	teng	ENSSSCG00000031802	ENSG00000109016	DHRS7B
size	pig	backfat_thickness	teng	ENSSSCG00000030697	ENSG00000131375	CAPN7
size	pig	backfat_thickness	teng	ENSSSCG00000024938	ENSG00000131370	SH3BP5
size	pig	backfat_thickness	teng	ENSSSCG00000038724	ENSG00000187068	C3orf70
size	pig	backfat_thickness	teng	ENSSSCG00000037530	ENSG00000138162	TACC2
size	pig	backfat_thickness	teng	ENSSSCG00000015689	ENSG00000115866	DARS1
size	pig	backfat_thickness	teng	ENSSSCG00000015690	ENSG00000144224	UBXN4
size	pig	backfat_thickness	teng	ENSSSCG00000016335	ENSG00000144488	ESPNL
size	pig	backfat_thickness	teng	ENSSSCG00000007089	ENSG00000125871	MGME1
size	pig	backfat_thickness	teng	ENSSSCG00000021453	ENSG00000101098	RIMS4
size	pig	backfat_thickness	teng	ENSSSCG00000033586	ENSG00000244274	DBNDD2
size	pig	backfat_thickness	teng	ENSSSCG00000007430	ENSG00000124257	NEURL2
size	pig	backfat_thickness	teng	ENSSSCG00000007508	ENSG00000124256	ZBP1
size	pig	backfat_thickness	teng	ENSSSCG00000016543	ENSG00000131558	EXOC4
size	pig	backfat_thickness	teng	ENSSSCG00000016572	ENSG00000064419	TNPO3
size	pig	backfat_thickness	teng	ENSSSCG00000021250	ENSG00000122642	FKBP9
size	pig	backfat_thickness	teng	ENSSSCG00000037116	ENSG00000180233	ZNRF2
size	pig	backfat_thickness	teng	ENSSSCG00000014168	ENSG00000118985	ELL2
size	pig	backfat_thickness	teng	ENSSSCG00000018538	ENSG00000199785	SNORA52
size	pig	backfat_thickness	teng	ENSSSCG00000005604	ENSG00000167081	PBX3
size	pig	backfat_thickness	teng	ENSSSCG00000030137	ENSG00000185522	LMNTD2
size	pig	backfat_thickness	teng	ENSSSCG00000013737	ENSG00000104889	RNASEH2A
size	pig	backfat_thickness	teng	ENSSSCG00000006066	ENSG00000034677	RNF19A
size	pig	backfat_thickness	teng	ENSSSCG00000009405	ENSG00000136143	SUCLA2
size	pig	backfat_thickness	teng	ENSSSCG00000016194	ENSG00000135913	USP37
size	pig	backfat_thickness	teng	ENSSSCG00000004921	ENSG00000081923	ATP8B1
size	pig	backfat_thickness	teng	ENSSSCG00000039287	ENSG00000172322	CLEC12A
size	pig	backfat_thickness	teng	ENSSSCG00000039580	ENSG00000065970	FOXJ2
size	pig	backfat_thickness	teng	ENSSSCG00000000687	ENSG00000010610	CD4
size	pig	backfat_thickness	teng	ENSSSCG00000025179	ENSG00000089818	NECAP1
size	pig	backfat_thickness	teng	ENSSSCG00000040186	ENSG00000111678	C12orf57
size	pig	backfat_thickness	teng	ENSSSCG00000026919	ENSG00000238795	SCARNA12
size	pig	backfat_thickness	teng	ENSSSCG00000017528	ENSG00000002919	SNX11
size	pig	backfat_thickness	teng	ENSSSCG00000024876	ENSG00000146433	TMEM181
size	pig	backfat_thickness	teng	ENSSSCG00000004570	ENSG00000140416	TPM1
size	pig	backfat_thickness	teng	ENSSSCG00000005710	ENSG00000050555	LAMC3
size	pig	backfat_thickness	teng	ENSSSCG00000013042	ENSG00000168071	CCDC88B
size	pig	backfat_thickness	teng	ENSSSCG00000011831	ENSG00000189058	APOD
size	pig	backfat_thickness	teng	ENSSSCG00000032403	ENSG00000242220	TCP10L
size	pig	backfat_thickness	teng	ENSSSCG00000005498	ENSG00000182752	PAPPA
size	pig	backfat_thickness	teng	ENSSSCG00000005593	ENSG00000185585	OLFML2A
size	pig	backfat_thickness	teng	ENSSSCG00000018834	ENSG00000207595	MIR181A2
size	pig	backfat_thickness	teng	ENSSSCG00000005594	ENSG00000136918	WDR38
size	pig	backfat_thickness	teng	ENSSSCG00000005616	ENSG00000167094	TTC16
size	pig	backfat_thickness	teng	ENSSSCG00000005666	ENSG00000175283	DOLK
size	pig	backfat_thickness	teng	ENSSSCG00000005652	ENSG00000119392	GLE1
size	pig	backfat_thickness	teng	ENSSSCG00000040793	ENSG00000117984	CTSD
size	pig	backfat_thickness	teng	ENSSSCG00000013296	ENSG00000110436	SLC1A2
size	pig	backfat_thickness	teng	ENSSSCG00000013895	ENSG00000099308	MAST3
size	pig	backfat_thickness	teng	ENSSSCG00000013868	ENSG00000127533	F2RL3
size	pig	backfat_thickness	teng	ENSSSCG00000041220	ENSG00000267855	NDUFA7
size	pig	backfat_thickness	teng	ENSSSCG00000024810	ENSG00000133250	ZNF414
size	pig	backfat_thickness	teng	ENSSSCG00000000688	ENSG00000089692	LAG3
size	pig	backfat_thickness	teng	ENSSSCG00000009397	ENSG00000102547	CAB39L
size	pig	backfat_thickness	teng	ENSSSCG00000009396	ENSG00000136147	PHF11
size	pig	backfat_thickness	teng	ENSSSCG00000017518	ENSG00000006025	OSBPL7
size	pig	backfat_thickness	teng	ENSSSCG00000010686	ENSG00000151929	BAG3
size	pig	backfat_thickness	teng	ENSSSCG00000004027	ENSG00000112541	PDE10A
size	pig	backfat_thickness	teng	ENSSSCG00000005725	ENSG00000125482	TTF1
size	pig	backfat_thickness	teng	ENSSSCG00000013266	ENSG00000165905	LARGE2
size	pig	backfat_thickness	teng	ENSSSCG00000029886	ENSG00000133800	LYVE1
size	pig	backfat_thickness	teng	ENSSSCG00000009176	ENSG00000109270	LAMTOR3
size	pig	backfat_thickness	teng	ENSSSCG00000029039	ENSG00000139618	BRCA2
size	pig	backfat_thickness	teng	ENSSSCG00000009400	ENSG00000136161	RCBTB2
size	pig	backfat_thickness	teng	ENSSSCG00000020884	ENSG00000277399	GPR179
size	pig	backfat_thickness	teng	ENSSSCG00000017517	ENSG00000073861	TBX21
size	pig	backfat_thickness	teng	ENSSSCG00000035374	ENSG00000007255	TRAPPC6A
size	pig	backfat_thickness	teng	ENSSSCG00000002494	ENSG00000165959	CLMN
size	pig	backfat_thickness	teng	ENSSSCG00000037900	ENSG00000110092	CCND1
size	pig	backfat_thickness	teng	ENSSSCG00000031809	ENSG00000196652	ZKSCAN5
size	pig	backfat_thickness	teng	ENSSSCG00000009031	ENSG00000151617	EDNRA
size	pig	backfat_thickness	teng	ENSSSCG00000005589	ENSG00000148200	NR6A1
size	pig	backfat_thickness	teng	ENSSSCG00000013018	ENSG00000171219	CDC42BPG
size	pig	backfat_thickness	teng	ENSSSCG00000008429	ENSG00000119888	EPCAM
size	pig	backfat_thickness	teng	ENSSSCG00000039673	ENSG00000161664	ASB16
size	pig	backfat_thickness	teng	ENSSSCG00000015885	ENSG00000153246	PLA2R1
size	pig	backfat_thickness	teng	ENSSSCG00000005640	ENSG00000148337	CIZ1
size	pig	backfat_thickness	teng	ENSSSCG00000028097	ENSG00000159592	GPBP1L1
size	pig	backfat_thickness	teng	ENSSSCG00000024626	ENSG00000109079	TNFAIP1
size	pig	backfat_thickness	teng	ENSSSCG00000017793	ENSG00000198720	ANKRD13B
size	pig	loin_muscle_depth	teng	ENSSSCG00000027903	ENSG00000186115	CYP4F2
size	pig	loin_muscle_depth	teng	ENSSSCG00000027854	ENSG00000025423	HSD17B6
size	pig	loin_muscle_depth	teng	ENSSSCG00000032059	ENSG00000205155	PSENEN
size	pig	loin_muscle_depth	teng	ENSSSCG00000002983	ENSG00000105205	CLC
size	pig	loin_muscle_depth	teng	ENSSSCG00000035414	ENSG00000173950	XXYLT1
size	pig	loin_muscle_depth	teng	ENSSSCG00000016843	ENSG00000197603	CPLANE1
size	pig	loin_muscle_depth	teng	ENSSSCG00000027404	ENSG00000112494	UNC93A
size	pig	loin_muscle_depth	teng	ENSSSCG00000039644	ENSG00000070985	TRPM5
size	pig	loin_muscle_depth	teng	ENSSSCG00000041220	ENSG00000267855	NDUFA7
size	pig	loin_muscle_depth	teng	ENSSSCG00000013513	ENSG00000214456	PLIN5
size	pig	loin_muscle_depth	teng	ENSSSCG00000013448	ENSG00000099875	MKNK2
size	pig	loin_muscle_depth	teng	ENSSSCG00000036961	ENSG00000113212	PCDHB7
size	pig	loin_muscle_depth	teng	ENSSSCG00000005994	ENSG00000172164	SNTB1
size	pig	loin_muscle_depth	teng	ENSSSCG00000006664	ENSG00000014914	MTMR11
size	pig	loin_muscle_depth	teng	ENSSSCG00000000419	ENSG00000139547	RDH16
size	pig	loin_muscle_depth	teng	ENSSSCG00000037619	ENSG00000123427	EEF1AKMT3
size	pig	loin_muscle_depth	teng	ENSSSCG00000030510	ENSG00000105202	FBL
size	pig	loin_muscle_depth	teng	ENSSSCG00000003844	ENSG00000243725	TTC4
size	pig	loin_muscle_depth	teng	ENSSSCG00000002627	ENSG00000170899	GSTA4
size	pig	loin_muscle_depth	teng	ENSSSCG00000017427	ENSG00000173805	HAP1
size	pig	loin_muscle_depth	teng	ENSSSCG00000022999	ENSG00000167840	ZNF232
size	pig	loin_muscle_depth	teng	ENSSSCG00000038144	ENSG00000133026	MYH10
size	pig	loin_muscle_depth	teng	ENSSSCG00000009850	ENSG00000135090	TAOK3
size	pig	loin_muscle_depth	teng	ENSSSCG00000036438	ENSG00000211445	GPX3
size	pig	loin_muscle_depth	teng	ENSSSCG00000005689	ENSG00000187239	FNBP1
size	pig	loin_muscle_depth	teng	ENSSSCG00000014165	ENSG00000198677	SKIC3
size	pig	loin_muscle_depth	teng	ENSSSCG00000006544	ENSG00000160714	UBE2Q1
size	pig	loin_muscle_depth	teng	ENSSSCG00000028943	ENSG00000104823	ECH1
size	pig	loin_muscle_depth	teng	ENSSSCG00000037061	ENSG00000160214	RRP1
size	pig	loin_muscle_depth	teng	ENSSSCG00000009655	ENSG00000221818	EBF2
size	pig	loin_muscle_depth	teng	ENSSSCG00000036115	ENSG00000221823	PPP3R1
size	pig	loin_muscle_depth	teng	ENSSSCG00000033854	ENSG00000100097	LGALS1
size	pig	loin_muscle_depth	teng	ENSSSCG00000014575	ENSG00000175356	SCUBE2
size	pig	loin_muscle_depth	teng	ENSSSCG00000035653	ENSG00000148985	PGAP2
size	pig	loin_muscle_depth	teng	ENSSSCG00000039656	ENSG00000177105	RHOG
size	pig	loin_muscle_depth	teng	ENSSSCG00000014861	ENSG00000166391	MOGAT2
size	pig	loin_muscle_depth	teng	ENSSSCG00000028865	ENSG00000150459	SAP18
size	pig	loin_muscle_depth	teng	ENSSSCG00000017473	ENSG00000131747	TOP2A
size	pig	loin_muscle_depth	teng	ENSSSCG00000017488	ENSG00000108342	CSF3
size	pig	loin_muscle_depth	teng	ENSSSCG00000029088	ENSG00000148824	MTG1
size	pig	loin_muscle_depth	teng	ENSSSCG00000025117	ENSG00000111676	ATN1
size	pig	loin_muscle_depth	teng	ENSSSCG00000012857	ENSG00000110619	CARS1
size	pig	loin_muscle_depth	teng	ENSSSCG00000015125	ENSG00000110400	NECTIN1
size	pig	loin_muscle_depth	teng	ENSSSCG00000017956	ENSG00000129226	CD68
size	pig	loin_muscle_depth	teng	ENSSSCG00000014427	ENSG00000145868	FBXO38
size	pig	loin_muscle_depth	teng	ENSSSCG00000003920	ENSG00000186603	HPDL
size	pig	loin_muscle_depth	teng	ENSSSCG00000013757	ENSG00000104979	C19orf53
size	pig	loin_muscle_depth	teng	ENSSSCG00000014438	ENSG00000132915	PDE6A
size	pig	loin_muscle_depth	teng	ENSSSCG00000003918	ENSG00000132773	TOE1
size	pig	loin_muscle_depth	teng	ENSSSCG00000001697	ENSG00000137216	TMEM63B
size	pig	loin_muscle_depth	teng	ENSSSCG00000012969	ENSG00000172500	FIBP
size	pig	loin_muscle_depth	teng	ENSSSCG00000029875	ENSG00000186020	ZNF529
